comment,class_label,probability
"Отвратительная кухня. Чахохбили и рядом не стоит положили кусок курицы. Картофель уже старый , фиолетового цвета. И бравда как в предыдущем отзыве писали, как свиньям накидали. Ни чего общего с грузинской кухней. Цены Мега завышены. И отзывы видимо положительные вам за деньги написали",0,0.0014924194
"Вот такие новости надо сначала выкладывать, а после них уже можно видосики и про карточки в стиме рассказывать, не умеете вы с комьюнити работать от слова совсем????",0,0.0013562693
"Станислав, разнылся, вечно недовольный??",0,0.0008042422
"Эмиль, г@вноед, готовый жрать любое дepьмо, которым его пичкают разрабы??",0,0.014618267
"вопрос, а какую игру мы ищем в пве!?",0,0.00087373226
"Константин, это поиск сервера для хоста игры. Если запустить локально, то поиска не будет",0,0.009024394
"Константин, улицы таркова на своей машине запустить нельзя. Почему - это секрет.",0,0.0018142875
"""Баги и недочеты, с которыми я встретился:",0,0.021741685
1. Пропадает часть инвентаря торговца при использовании категорий в меню покупки,0,4.924843e-06
2. Тактические фонари иногда горят красным и не светят,0,0.00063376717
"3. Под трубой на локации Развязка на новой территории нельзя пролезть даже лёжа, хотя тропинка проложена",0,4.640031e-05
4. В сборках оружия зелёным помечены модули не доступные к покупке,0,0.00022691482
"5. Уведомление о непрочитанных записках появляется само по себе, хотя записки уже прочитаны",0,0.0027130186
6. Уведомления о новых сообщениях с наградами торговцев не отображаются на нижней панели,0,0.0005153644
7. Кабан спавнится на минах у Терракоты в ПВЕ,0,0.0055658193
"8. Метка Анхерда не позволяет передвигать сумки и хламовники, в которых она находится",0,0.0009583507
"9. Вместо реплики торговца в меню общения выскакивает многоточие, либо просто скипается реплика.""",0,0.022239223
"Daniil, спасибо за информацию. Если понадобятся подробности — свяжемся с вами!",0,1.8183006e-07
"Как понять, получил ли озвучку с дропсов на Твиче? Всё что мог за 28 число получить получил, в итоге одно письмо было пустое, но вот то, выпала ли озвучка не пойму. Кто сталкивался, кто знает как оно работает?",0,4.095386e-05
"Ратибор, в настройках меню, звук, голос чвк. Если в выборе есть озвучка кроме дефолта, то выпала",0,0.00041939333
"Любые фонари стационарные слепят, DLSS глючит в оптике. Пора бы исправить",0,0.033161253
"Квест Тарковский стрелок 8, выдает ошибку каждый раз когда идёшь в рейд сбрасывает прогресс настреленных ЧВК по квесту надо за одну жизнь настрелять 3 ЧВК в голову, по факту за один рейд из за этой ошибки!!! Если настрели двух, то при заходе в новый рейд, выдаст ошибку и квест прогрес сброситься",0,1.8716036e-06
"""Видимо столкнулся с багом по квесту козлова",0,0.001044577
"Взял касету из рассады на берегу, а после рейда ее уже нет ни в схроне, ни на старом месте. Квест висит на стадии найти комромат. Следовательно закончить квест не получается""",0,0.010089153
"Не хотел бы вас огорчать, но не исправили... Поиск рейда все так же отваливается, за дикого по крайней мере",0,0.00016509237
